 母公司	 最終母公司	 NPI/PI	 DRSK'		 產品代碼	 發行人	 證券名稱	 幣別	" 參考賣出價
"		" 參考買入價
"	 前手息	 1日價格變動	 利差	 指標	 五日價格變動			 參考買回殖利率	 參考到期殖利率	" 距買
回年"	" 距到
期年"	 穆迪	 穆迪評價日	 標普	 標普評價日	 惠譽	 惠譽評價日	 票息	 配息頻率	 下一配息日	" 票息
Type"	" 浮動
SPREAD"	" 發行日
Issue Date"	 下一買回日	 到期日	" Bullet/
Callable"	 償債順位	 最小單位	 涉險國家	 行業	 產業	 PERPETUAL	" COCO
SECURITY"	" BASEL
III"	" COCO
ACTION"	" COCO
TRIGGER"	" TRIGGER
LEVEL"	" TRIGGER
TYPE"	 WRITE_DOWN_TYPE	" 美國
所得"	 國家	" OBU之
PI /NPI"	 上季風險	 風險等級	 風險變動	" OBU之
PI /NPI"	 風險等級	 outstanding (MM)	 償債順位
	Hewlett Packard Enterprise Co	NPI	 	 [NEW-LINE]	 US42824CAY57	 慧與	HPE 6.35 10/15/45	USD	104.5843811		110.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.338 	126 	T 4 1/2 02/15/44	(0.64)			5.54 	5.55 	21.1 	21.6 	Baa2	2016/9/8	BBB	2015/10/1	BBB+	2017/3/10	6.35	2	2024/4/15	FIXED		2016/11/23	2045/4/15	2045/10/15	C	Sr Unsecured	2000	US	Computers	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  1,492 	 優先無擔保
Indonesia Ministry of State En	Republic of Indonesia	NPI	 	 [NEW-LINE]	 USY7138AAF76	 印尼國家石油有限公司	PERTIJ 5 5/8 05/20/43	USD	95.5 		100.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.331 	130 	T 4 1/2 02/15/44	(0.84)				5.55 		19.2 	Baa2	2018/4/13	BBB	2019/5/31	BBB	2017/12/22	5.625	2	2024/5/20	FIXED		2013/5/13		2043/5/20	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  1,433 	 優先無擔保
	Morgan Stanley	PI	 	 [NEW-LINE]	 US61747YFB65	 摩根士丹利	MS 5.948 01/19/38	USD	98.89489746		104.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.033 	158 	T 4 02/15/34	(0.75)			5.37 	5.53 	8.8 	13.8 	Baa1	2023/1/18	BBB+	2023/1/18	A-	2023/1/19	5.948	2	2024/7/19	VARIABLE	243	2023/1/17	2033/1/19	2038/1/19	C	Subordinated	1000	US	Banks	Financial	N		Tier 2						Y	US	NPI	穩健型	保守型	Y	PI	積極型	  2,000 	 次順位
				 [NEW-LINE]	 USF2893TAK28	 法國電力有限責任公司	EDF 4 7/8 01/22/44	USD	87.0 		92.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.013 	129 	T 4 1/2 02/15/44	(1.55)				5.52 		19.8 	Baa1	2022/2/21	BBB	2022/12/14	BBB+	2022/3/2	4.875	2	2024/7/22	FIXED		2014/1/13		2044/1/22	B	Sr Unsecured	2000	FR	Electric	Utilities	N									FR	NPI	穩健型	保守型	Y	NPI	穩健型	  1,000 	 優先無擔保
Indonesia Ministry of State En	Republic of Indonesia	0	 	 [NEW-LINE]	 US69370RAE71	 印尼國家石油有限公司	PERTIJ 4.7 07/30/49	USD	83.5 		88.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.296 	137 	T 4 3/4 11/15/53	(1.23)				5.52 		25.4 	Baa2	2019/7/23		#VALUE!	BBB	2019/7/24	4.7	2	2024/7/30	FIXED		2019/7/23		2049/7/30	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	0	穩健型	  750 	 優先無擔保
	Barclays PLC	PI	 	 [NEW-LINE]	 US06738EBS37	 巴克萊集團	BACR 3.811 03/10/42	USD	75.1770401		80.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.080)	141 	T 4 1/2 02/15/44	(0.08)			5.58 	5.51 	17.0 	18.0 	Baa1	2023/3/10	BBB-	2023/5/19	BBB+	2021/3/10	3.811	2	2024/9/10	VARIABLE	170	2021/3/3	2041/3/10	2042/3/10	C	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	非常積極型	  1,000 	 次順位
Kingdom of Saudi Arabia	Kingdom of Saudi Arabia	NPI	 	 [NEW-LINE]	 XS2577136109	 Saudi Government Internation	KSA 5 01/18/53	USD	87.5 		92.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.140)	133 	T 4 3/4 11/15/53	(1.68)				5.50 		28.8 	A1	2023/1/16		#VALUE!	A+	2023/4/5	5	2	2024/7/18	FIXED		2023/1/10		2053/1/18	B	Sr Unsecured	200000	SA	Sovereign	Government	N									SR	NPI	穩健型	保守型	Y	NPI	積極型	  3,250 	 優先無擔保
				 [NEW-LINE]	 US68389XCQ60	 甲骨文公司	ORCL 5.55 02/06/53	USD	95.42556		100.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.044)	131 	T 4 3/4 11/15/53	(1.06)			5.50 	5.50 	28.4 	28.9 	Baa2	2023/2/2	BBB	2023/2/2	BBB	2023/2/2	5.55	2	2024/8/6	FIXED		2023/2/2	2052/8/6	2053/2/6	C	Sr Unsecured	2000	US	Software	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,250 	 優先無擔保
				 [NEW-LINE]	 US639057AB46 	 印尼國家石油有限公司	PERTIJ 4.175 01/21/50	USD	76.7 		82.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.226 	133 	T 4 3/4 11/15/53	(1.14)			5.48 	5.47 	25.3 	25.8 	Baa2	2020/1/13		#VALUE!	BBB	2020/1/13	4.175	2	2024/7/21	FIXED		2020/1/13	2049/7/21	2050/1/21	C	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	#N/A	  1,000 	 優先無擔保
	Commonwealth Bank of Australia	PI	 	 [NEW-LINE]	 USQ2693DBV21	 澳洲聯邦銀行	CBAAU 4.316 01/10/48	USD	78.88973999		84.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.123 	133 	T 4 3/4 11/15/53	(1.24)				5.47 		23.8 	Baa1 *+	2024/3/6	BBB+	2019/10/24	A-	2020/4/7	4.316	2	2024/7/10	FIXED		2018/1/3		2048/1/10	B	Subordinated	200000	AU	Banks	Financial	N		Tier 2	Equity Conversion/Write Down			Discretionary			AU	NPI	穩健型	保守型	Y	PI	積極型	  1,250 	 次順位
				 [NEW-LINE]	 US404280DW61	 匯豐控股有限公司	HSBC 6.332 03/09/44	USD	105.1602554		110.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.405 						5.44 	5.46 	19.0 	20.0 	A3	2023/3/8	A-	2023/3/6	A+	2023/3/6	6.332	2	2024/9/9	VARIABLE	265	2023/3/2	2043/3/9	2044/3/9	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	0	積極型	  2,750 	 優先無擔保
Kingdom of Saudi Arabia	Kingdom of Saudi Arabia	NPI	 	 [NEW-LINE]	 XS1791939736	 Saudi Government Internation	KSA 5 04/17/49	USD	88.7 		93.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.064)	129 	T 4 3/4 11/15/53	(1.17)				5.46 		25.1 	A1	2018/4/11		#VALUE!	A+	2023/4/5	5	2	2024/4/17	FIXED		2018/4/10		2049/4/17	B	Sr Unsecured	200000	SA	Sovereign	Government	N									SR	NPI	穩健型	保守型	Y	NPI	穩健型	  3,500 	 優先無擔保
Kingdom of Saudi Arabia	Kingdom of Saudi Arabia	NPI	 	 [NEW-LINE]	 XS1791939736	 Saudi Government Internation	KSA 5 04/17/49	USD	88.7 		93.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.064)	129 	T 4 3/4 11/15/53	(1.17)				5.46 		25.1 	A1	2018/4/11		#VALUE!	A+	2023/4/5	5	2	2024/4/17	FIXED		2018/4/10		2049/4/17	B	Sr Unsecured	200000	SA	Sovereign	Government	N									SR	NPI	穩健型	保守型	Y	NPI	穩健型	  3,500 	 優先無擔保
Kingdom of Saudi Arabia	Kingdom of Saudi Arabia	NPI	 	 [NEW-LINE]	 XS1694218469	 Saudi Government Internation	KSA 4 5/8 10/04/47	USD	83.9 		89.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.201 	120 	T 4 1/2 02/15/44	(1.24)				5.45 		23.5 	A1	2017/9/29		#VALUE!	A+	2023/4/5	4.625	2	2024/4/4	FIXED		2017/9/27		2047/10/4	B	Sr Unsecured	200000	SA	Sovereign	Government	N									SR	NPI	穩健型	保守型	Y	NPI	穩健型	  4,500 	 優先無擔保
	Vodafone Group PLC	NPI	 	 [NEW-LINE]	 US92857WBS89	 沃達豐集團公開有限公司	VOD 4 7/8 06/19/49	USD	86.9 		92.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.148 	128 	T 4 3/4 11/15/53	(0.12)				5.45 		25.2 	Baa2	2019/6/24	BBB	2019/8/1	BBB	2019/8/13	4.875	2	2024/6/19	FIXED		2019/6/12		2049/6/19	B	Sr Unsecured	1000	GB	Telecommunications	Communications	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  1,750 	 優先無擔保
				 [NEW-LINE]	 US17327CAR43	 花旗集團	C 6.174 05/25/34	USD	100.3950653		105.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.412 						5.39 	5.45 	9.2 	10.2 	Baa2	2023/5/25	BBB	2023/5/23	BBB+	2023/5/25	6.174	2	2024/5/25	VARIABLE	266.1	2023/5/22	2033/5/25	2034/5/25	C	Subordinated	1000	US	Banks	Financial	N		Tier 2						Y	US	NPI	穩健型	保守型	Y	PI	積極型	  3,200 	 次順位
French Republic	French Republic	NPI	 	 [NEW-LINE]	 USF2893TAC02	 法國電力有限責任公司	EDF 6.95 01/26/39	USD	109.5 		115.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.101)	147 	T 4 02/15/34	(1.15)				5.44 		14.9 	Baa1	2022/2/21	BBB	2022/12/14	BBB+	2022/3/2	6.95	2	2024/7/26	FIXED		2009/1/21		2039/1/26	B	Sr Unsecured	2000	FR	Electric	Utilities	N									FR	NPI	穩健型	保守型	Y	NPI	穩健型	  1,750 	 優先無擔保
